Launching shellbags v.20200428
shellbags v.20200428
(USRCLASS.DAT) Shell/BagMRU traversal in Win7+ USRCLASS.DAT hives

MRU Time             |Modified             | Accessed             | Created              | Zip_Subfolder        | MFT File Ref |Resource
------------         |------------         | ------------         | ------------         | ------------         | ------------ |------------
                     |                     |                      |                      |                      |              |Control Panel [Desktop\0\]
                     |                     |                      |                      |                      |              |Control Panel\System and Security [Desktop\0\0\]
                     |                     |                      |                      |                      |              |Control Panel\System and Security\CLSID_System [Desktop\0\0\0\]
                     |                     |                      |                      |                      |              |Control Panel\System and Security\CLSID_Windows Firewall [Desktop\0\0\1\]
                     |                     |                      |                      |                      |              |Control Panel\System and Security\CLSID_Windows Firewall\Customize Settings [Desktop\0\0\1\0\]
2019-07-24 12:58:51  |                     |                      |                      |                      |              |Control Panel\System and Security\CLSID_Windows Firewall\Allowed Programs [Desktop\0\0\1\1\]
2019-07-24 13:03:33  |                     |                      |                      |                      |              |Control Panel\System and Security\CLSID_Windows Update [Desktop\0\0\2\]
                     |                     |                      |                      |                      |              |Control Panel\Network and Internet [Desktop\0\1\]
                     |                     |                      |                      |                      |              |Control Panel\Network and Internet\CLSID_Network and Sharing Center [Desktop\0\1\0\]
2019-07-24 13:03:28  |                     |                      |                      |                      |              |Control Panel\Network and Internet\CLSID_Network Connections [Desktop\0\1\1\]
                     |                     |                      |                      |                      |              |Control Panel\Appearance/Personalization [Desktop\0\2\]
2019-07-24 13:04:16  |                     |                      |                      |                      |              |Control Panel\Appearance/Personalization\CLSID_Personalization [Desktop\0\2\0\]
2019-07-24 13:04:46  |                     |                      |                      |                      |              |Control Panel\Appearance/Personalization\CLSID_Personalization\Desktop Background [Desktop\0\2\0\0\]
2019-07-31 12:44:29  |                     |                      |                      |                      |              |Control Panel\Programs [Desktop\0\3\]
2019-07-31 12:44:29  |                     |                      |                      |                      |              |Control Panel\Programs\CLSID_Programs and Features [Desktop\0\3\0\]
